Index	Co	Mn	Sb	Sn	Ti	Overpotential	Overpotential_std	Overpotential change	Overpotential change_std
						mV		mV	
1	80	10	0	0	10	455.706988	13.145174	13.266595	0.245531
2	10	50	0	10	30	486.388107	2.742033	10.248685	1.555038
3	10	30	0	50	10	454.743546	3.21468	14.352204	0.57111
4	30	60	10	0	0	462.512153	6.320262	6.49666	0.547754
5	10	0	0	10	80	660.85479	14.431793	-2.563959	1.899724
6	30	20	30	10	10	492.689216	4.970663	6.452777	1.189832
7	0	0	60	20	20	936.603787	155.824397	13.841233	16.024885
8	30	0	10	20	40	567.92113	3.891829	0.062986	0.873701
9	20	60	0	20	0	470.490551	16.059028	17.129819	2.300342
10	60	30	10	0	0	489.904853	3.712383	7.389319	0.384327
11	40	30	10	20	0	487.354239	6.293006	10.384659	0.967882
12	0	0	60	40	0	888.672879	51.410241	8.734727	5.226057
13	40	0	10	20	30	581.28735	8.708782	-1.139551	1.347317
14	10	20	0	0	70	549.945587	4.247196	12.978443	0.567481
15	50	10	20	20	0	519.275218	6.173884	7.330678	2.590821
