Index	Co	Mn	Sb	Sn	Ti	Overpotential	Overpotential_std	Overpotential change	Overpotential change_std
						mV		mV	
1	80	10	0	10	0	441.784018	2.66619	13.692828	0.285813
2	0	0	30	40	30	1134.015596	2.444652	11.44861	0.209099
3	30	30	0	30	10	480.777244	2.444157	13.79597	0.032818
4	20	0	0	50	30	603.399132	16.414923	0.690691	9.187255
5	0	30	40	0	30	569.31076	3.810925	7.151689	1.519947
6	0	70	10	10	10	440.098202	3.774414	6.711984	1.462203
7	10	20	0	40	30	518.010608	6.098793	11.301605	0.209505
8	20	40	0	40	0	461.882551	4.464035	15.614144	0.648688
9	0	0	30	50	20	945.735335	9.067953	41.029257	3.920711
10	10	30	20	0	40	528.913321	12.786544	6.818789	3.116451
11	10	40	30	10	10	495.052328	7.147019	8.19572	0.329343
12	30	40	0	10	20	511.729268	4.654592	14.547078	0.460053
13	10	0	20	70	0	723.108065	19.959891	16.045437	7.831908
14	20	0	0	30	50	631.590837	4.93306	-9.763271	1.53749
15	10	0	30	0	60	822.640911	13.922314	4.265311	3.260586
