Index	Co	Mn	Sb	Sn	Ti	Overpotential	Overpotential_std	Overpotential change	Overpotential change_std
						mV		mV	
1	80	0	20	0	0	508.854815	2.05291	7.227874	0.858902
2	0	90	0	0	10	450.362632	1.695043	-5.85593	0.137975
3	0	70	0	10	20	473.82979	4.610597	-14.242305	1.314383
4	0	70	10	0	20	470.449235	9.330597	-0.055116	2.512604
5	0	70	0	20	10	437.125536	1.92093	5.166936	0.890767
6	10	90	0	0	0	396.909473	5.552619	8.097559	1.670616
7	10	70	0	0	20	461.256162	6.356522	-4.842371	0.910843
8	0	80	10	0	10	445.367574	4.519821	5.982629	2.211981
9	60	10	0	30	0	460.114986	3.804281	10.818128	0.49474
10	0	70	0	30	0	423.547739	0.874541	8.296978	0.495481
11	10	80	10	0	0	431.468264	8.95333	2.166235	2.234867
12	60	10	10	20	0	496.763146	0.870122	6.394616	0.183478
13	0	80	0	10	10	427.882004	1.559628	3.300867	0.177489
14	0	60	0	0	40	494.574421	6.7115	-10.970777	2.286157
15	10	70	0	10	10	428.534708	13.341215	4.810731	0.664783
