Index	Co	Mn	Sb	Sn	Ti	Overpotential	Overpotential_std	Overpotential change	Overpotential change_std
						mV		mV	
1	70	0	0	0	30	552.226547	5.014568	1.213761	1.815163
2	0	70	0	0	30	499.671376	2.928869	-18.270281	0.069462
3	20	50	0	0	30	524.865409	2.296138	12.678548	0.959192
4	50	20	0	0	30	562.939518	10.082771	10.072778	1.932463
5	10	80	0	0	10	444.73566	12.917411	-3.414392	2.96308
6	70	0	0	20	10	470.313438	4.820463	5.137255	0.330229
7	0	80	0	20	0	410.092521	8.548165	6.522479	1.472908
8	40	30	0	0	30	543.901668	15.718038	11.440792	2.503241
9	40	30	0	30	0	467.34182	4.127252	10.214136	0.582133
10	0	80	20	0	0	471.795378	16.176444	1.641945	6.664167
11	70	20	0	0	10	495.226091	12.053592	10.658302	0.452443
12	30	70	0	0	0	485.976638	1.959553	16.717929	0.372844
13	0	60	10	0	30	507.002202	7.029639	2.977616	0.754924
14	60	0	0	0	40	602.570122	6.240824	-6.69656	1.09523
15	0	80	0	0	20	475.080399	2.274439	-11.885536	1.557291
